analysis_split,freshness_bin,geometry_dimension,geometry_level,metric,n,median,p90
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65411,score_orbit_hz,12,4.910103829193634,35.785897434992435
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65411,abs_delta_k_orbit_hz_per_s,12,0.991819700193683,4.406945753304309
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65421,raw_rms_hz,12,175.15164710522413,531.5146386071905
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65421,score_orbit_hz,12,11.823311830990246,40.51483977425103
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65421,abs_delta_k_orbit_hz_per_s,12,1.4534909560023515,6.768979374801341
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65686,raw_rms_hz,12,171.8171957820029,627.4051697836202
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65686,score_orbit_hz,12,6.7771107242922195,34.32985898903791
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65686,abs_delta_k_orbit_hz_per_s,12,2.091380823358288,3.71575347100535
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65693,raw_rms_hz,12,177.25417408055284,629.9205544030197
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65693,score_orbit_hz,12,8.346277596645983,30.56775691568314
EXPLORATORY_APRIL_MAY,0-6 h,satellite_norad_id,65693,abs_delta_k_orbit_hz_per_s,12,1.1355523487173778,3.110639857600318
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,44714,raw_rms_hz,12,293.1219293909868,2585.0005892270938
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,44714,score_orbit_hz,12,19.180286318675197,210.92051541222756
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,44714,abs_delta_k_orbit_hz_per_s,12,0.739209572818781,11.012854888236193
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,45230,raw_rms_hz,12,267.7181942899655,555.2582662885675
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,45230,score_orbit_hz,12,3.9757078225648117,15.849460156565284
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,45230,abs_delta_k_orbit_hz_per_s,12,0.6749987988040793,5.176086166297114
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47383,raw_rms_hz,12,201.0903188861517,875.8389728213506
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47383,score_orbit_hz,12,9.272412065672569,26.803244330239135
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47383,abs_delta_k_orbit_hz_per_s,12,1.645706412528698,5.234656574122179
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47749,raw_rms_hz,14,773.5295599645647,965.0081504133187
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47749,score_orbit_hz,14,8.248109549444102,63.59601665930218
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47749,abs_delta_k_orbit_hz_per_s,14,1.0544698836247428,14.82849031032803
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47767,raw_rms_hz,12,497.02248341047283,2218.9424350113677
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47767,score_orbit_hz,12,32.73753301353281,179.69909478605834
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47767,abs_delta_k_orbit_hz_per_s,12,5.336409296200179,9.837951174443017
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47844,raw_rms_hz,12,566.4916941589665,3284.956440957868
EXPLORATORY_APRIL_MAY,12-18 h,satellite_norad_id,47844,score_orbit_hz,12,33.642932327672256,256.29470424973414
